False negative test rate,Tracing efficiency,ReffMean,N_infected_done,N_recovered,ReffStd,ReffTheoretical,N_traced
0.0,0.5800000000000002,0.9446661784538822,40138.31,38506.262,0.005253358227527874,1.0285122904789958,11321.519999999999
0.0,0.6000000000000002,0.9321391013364819,31130.392000000003,30305.457999999995,0.004719634952364135,1.018180952567655,9241.798
0.0,0.6200000000000002,0.9225152944279078,24559.708,24128.839999999997,0.004790077003671796,1.0059306080218415,7605.960000000001
0.0,0.6400000000000002,0.9112092907419189,16053.864000000001,15936.913999999999,0.004887653199467278,0.9921063087253733,5194.076
0.0,0.6600000000000003,0.9120009317994711,10215.468,10241.074,0.004554448568928573,0.9796231756394231,3440.2659999999996
0.0,0.6800000000000003,0.8933885394320304,6391.964,6487.028,0.005305772655156859,0.9673390986053361,2233.302
0.0,0.7000000000000003,0.8903612751869329,4452.218,4552.218,0.004931134153506694,0.9547530025760402,1608.174
0.0,0.7200000000000003,0.8778035439853417,2828.102,2928.102,0.00508338751429377,0.9389698394963297,1057.8339999999998
0.0,0.7400000000000003,0.8802201648119174,2342.818,2442.8179999999993,0.004639770306468893,0.9276345763992037,899.684
0.0,0.7600000000000003,0.8730070325203559,2015.7700000000004,2115.77,0.0048597917487651415,0.9108092631852429,801.2080000000001
0.0,0.7800000000000004,0.8631740681285691,1554.014,1654.014,0.0047050595716092315,0.8971842585125576,636.97
0.0,0.8000000000000004,0.8550707920642932,1375.422,1475.422,0.004927949560537339,0.8843511203068267,579.5060000000001
0.0,0.8200000000000004,0.8483886252834747,1360.2019999999998,1460.2019999999998,0.005114974589298159,0.8701388178827019,583.768
0.0,0.8400000000000004,0.8350153682514927,1069.6299999999999,1169.6299999999999,0.005140503401547983,0.8601848728211191,473.918
0.0,0.8600000000000004,0.8388668445807921,1053.434,1153.434,0.0051062056320461185,0.8428661838486582,479.87800000000004
0.0,0.8800000000000004,0.8256266783873457,900.05,1000.05,0.004925030963380875,0.8211492495834264,421.51000000000005
0.0,0.9000000000000005,0.8258469695171863,861.906,961.906,0.004916889630613093,0.8158892743270064,410.81000000000006
0.0,0.9200000000000004,0.8115720155995494,753.602,853.6020000000001,0.004995772793695368,0.8013927384191858,369.02200000000005
0.0,0.9400000000000004,0.8064731781124813,723.106,823.106,0.005299720715594969,0.7821079777329505,362.90199999999993
0.0,0.9600000000000004,0.8044324464087392,665.3299999999999,765.3299999999999,0.004903167167916797,0.7607864757906564,344.86
0.0,0.9800000000000004,0.7939939980972686,640.6659999999999,740.6659999999999,0.005267687542482408,0.7487850888738027,340.736
0.0,1.0000000000000004,0.7944285311792061,621.0040000000001,721.0040000000001,0.005324462843891418,0.7410355883752496,332.848
