False negative test rate,Tracing efficiency,N_infected_done,N_recovered,Reff 
0.660000,0.060000,271564,146155,1.856772 
0.680000,0.060000,278509,149392,1.864572 
0.700000,0.060000,277017,148057,1.870837 
0.720000,0.060000,282270,150516,1.875077 
0.740000,0.060000,284464,150572,1.888516 
0.760000,0.060000,289060,152457,1.895374 
0.780000,0.060000,300281,157931,1.900794 
0.800000,0.060000,289253,151550,1.908496 
0.820000,0.060000,277113,145231,1.907294 
0.840000,0.060000,299267,155538,1.924145 
0.860000,0.060000,299512,155648,1.924119 
0.880000,0.060000,304501,157538,1.932438 
0.900000,0.060000,296779,153177,1.937498 
0.920000,0.060000,292022,149767,1.949871 
0.940000,0.060000,321544,163749,1.963422 
0.960000,0.060000,325716,165839,1.963859 
0.980000,0.060000,309040,156689,1.971402 
1.000000,0.060000,322303,163051,1.976563 
0.000000,0.080000,156898,98526,1.591047 
0.020000,0.080000,150628,94377,1.595867 
0.040000,0.080000,161399,100245,1.609271 
0.060000,0.080000,170595,105094,1.622462 
0.080000,0.080000,183367,113111,1.620355 
0.100000,0.080000,174600,107215,1.627768 
0.120000,0.080000,168675,102704,1.642426 
0.140000,0.080000,181306,109551,1.654356 
0.160000,0.080000,184180,111039,1.658944 
0.180000,0.080000,191939,115318,1.664422 
0.200000,0.080000,189610,113290,1.672991 
0.220000,0.080000,204474,121236,1.686429 
0.240000,0.080000,180095,106654,1.688313 
0.260000,0.080000,197710,116576,1.695266 
0.280000,0.080000,214184,125595,1.704930 
0.300000,0.080000,231731,134666,1.720903 
0.320000,0.080000,221600,128828,1.719237 
0.340000,0.080000,210916,121845,1.730221 
0.360000,0.080000,209206,120550,1.734765 
0.380000,0.080000,210813,121033,1.741826 
0.400000,0.080000,236996,134972,1.755513 
0.420000,0.080000,227570,129551,1.755835 
0.440000,0.080000,248147,139888,1.773281 
0.460000,0.080000,253184,142443,1.776641 
0.480000,0.080000,237793,133679,1.779210 
0.500000,0.080000,247897,138525,1.789176 
0.520000,0.080000,239394,132923,1.800267 
0.540000,0.080000,244296,135517,1.803165 
0.560000,0.080000,251158,138510,1.812817 
0.580000,0.080000,258800,142373,1.817019 
0.600000,0.080000,261858,143432,1.825741 
0.620000,0.080000,265042,144671,1.831758 
0.640000,0.080000,257689,139878,1.841808 
0.660000,0.080000,273996,148243,1.848397 
0.680000,0.080000,278463,149641,1.860647 
0.700000,0.080000,275861,147290,1.873028 
0.720000,0.080000,269843,144260,1.870519 
0.740000,0.080000,285371,151751,1.880625 
0.760000,0.080000,281571,149098,1.888259 
0.780000,0.080000,278242,146807,1.895143 
0.800000,0.080000,275018,144033,1.909647 
0.820000,0.080000,274181,143141,1.915573 
0.840000,0.080000,304920,158962,1.918086 
0.860000,0.080000,300025,155872,1.924190 
0.880000,0.080000,285670,147358,1.937902 
0.900000,0.080000,291475,150067,1.942508 
0.920000,0.080000,303687,155438,1.953358 
0.940000,0.080000,308827,158304,1.950496 
0.960000,0.080000,325154,165553,1.964091 
0.980000,0.080000,316131,160136,1.974200 
1.000000,0.080000,310508,157183,1.975333 
0.000000,0.100000,148402,94966,1.562253 
0.020000,0.100000,151969,96113,1.581342 
0.040000,0.100000,147795,93421,1.580871 
0.060000,0.100000,163141,102007,1.598669 
0.080000,0.100000,155365,96965,1.601843 
0.100000,0.100000,158350,98576,1.604692 
0.120000,0.100000,165254,102157,1.616319 
0.140000,0.100000,169257,104430,1.620541 
0.160000,0.100000,181697,110726,1.640655 
0.180000,0.100000,170097,103669,1.640586 
0.200000,0.100000,180340,109267,1.649542 
0.220000,0.100000,184243,110915,1.661072 
0.240000,0.100000,194273,116163,1.672223 
0.260000,0.100000,196258,116774,1.680716 
0.280000,0.100000,194374,115206,1.686845 
0.300000,0.100000,202145,118778,1.700783 
0.320000,0.100000,204690,120154,1.703227 
0.340000,0.100000,213822,124221,1.721053 
0.360000,0.100000,220625,128065,1.721395 
0.380000,0.100000,210512,121153,1.737616 
0.400000,0.100000,215189,123941,1.735410 
0.420000,0.100000,220720,126205,1.748046 
0.440000,0.100000,233825,133024,1.757097 
0.460000,0.100000,239640,135672,1.766071 
0.480000,0.100000,234926,132354,1.775231 
0.500000,0.100000,225768,126664,1.780823 
0.520000,0.100000,247468,138367,1.786869 
0.540000,0.100000,242732,135168,1.794694 
0.560000,0.100000,259257,143082,1.812087 
0.580000,0.100000,249432,137327,1.816447 
0.600000,0.100000,252039,138265,1.822752 
0.620000,0.100000,272725,148666,1.833774 
0.640000,0.100000,279886,152146,1.838388 
0.660000,0.100000,273559,147916,1.848666 
0.680000,0.100000,262207,141187,1.856907 
0.700000,0.100000,284918,152883,1.863290 
0.720000,0.100000,269519,144338,1.866726 
0.740000,0.100000,278140,148121,1.877550 
0.760000,0.100000,288028,152925,1.883597 
0.780000,0.100000,288654,152494,1.892627 
0.800000,0.100000,286561,150188,1.907481 
0.820000,0.100000,296267,155037,1.910701 
0.840000,0.100000,278325,145096,1.918118 
0.860000,0.100000,282729,147253,1.919903 
0.880000,0.100000,303008,156548,1.935665 
0.900000,0.100000,305007,157334,1.938241 
0.920000,0.100000,308222,158133,1.949163 
0.940000,0.100000,308634,157953,1.953553 
0.960000,0.100000,307677,156512,1.965824 
0.980000,0.100000,295391,150369,1.964068 
1.000000,0.100000,296621,149955,1.977513 
0.000000,0.120000,132262,85957,1.537543 
0.020000,0.120000,134461,87036,1.544736 
0.040000,0.120000,141202,90614,1.558736 
0.060000,0.120000,145057,92466,1.568025 
0.080000,0.120000,144781,91871,1.575783 
0.100000,0.120000,156369,98327,1.589643 
0.120000,0.120000,158261,99127,1.595705 
0.140000,0.120000,159673,99572,1.600725 
0.160000,0.120000,163896,101615,1.612745 
0.180000,0.120000,172883,105829,1.632547 
0.200000,0.120000,180441,110318,1.635247 
0.220000,0.120000,181782,110435,1.645623 
0.240000,0.120000,179465,108782,1.649558 
0.260000,0.120000,196093,117878,1.663835 
0.280000,0.120000,199527,119150,1.673865 
0.300000,0.120000,196030,116506,1.682755 
0.320000,0.120000,197093,116843,1.686738 
0.340000,0.120000,200612,117704,1.703534 
0.360000,0.120000,204120,119450,1.708599 
0.380000,0.120000,211612,122941,1.720481 
0.400000,0.120000,211985,122809,1.725748 
0.420000,0.120000,203723,117783,1.729689 
0.440000,0.120000,230534,131989,1.746141 
0.460000,0.120000,230418,131694,1.749443 
0.480000,0.120000,243474,138074,1.763539 
0.500000,0.120000,235347,132816,1.771698 
0.520000,0.120000,240122,134265,1.788084 
0.540000,0.120000,250678,139384,1.798019 
0.560000,0.120000,248108,137692,1.801196 
0.580000,0.120000,240645,133099,1.807276 
0.600000,0.120000,247773,136464,1.815315 
0.620000,0.120000,250087,136934,1.826025 
0.640000,0.120000,256216,139747,1.833045 
0.660000,0.120000,257460,139728,1.842405 
0.680000,0.120000,267324,144306,1.852630 
0.700000,0.120000,266961,143698,1.857684 
0.720000,0.120000,277761,148648,1.868289 
0.740000,0.120000,292456,156147,1.872968 
0.760000,0.120000,280349,148650,1.885596 
0.780000,0.120000,286716,151320,1.894315 
0.800000,0.120000,279445,147323,1.896300 
0.820000,0.120000,298721,156578,1.907754 
0.840000,0.120000,284017,148253,1.915646 
0.860000,0.120000,299037,155228,1.926154 
0.880000,0.120000,289492,149248,1.939817 
0.900000,0.120000,289474,148935,1.943655 
0.920000,0.120000,289714,148793,1.946554 
0.940000,0.120000,311215,158754,1.959738 
0.960000,0.120000,290315,148107,1.960254 
0.980000,0.120000,308918,156905,1.969138 
1.000000,0.120000,310924,157879,1.969339 
0.000000,0.140000,131946,87348,1.510136 
0.020000,0.140000,129382,85143,1.519277 
0.040000,0.140000,128450,83496,1.538101 
0.060000,0.140000,133434,86113,1.548291 
0.080000,0.140000,135232,87273,1.548611 
0.100000,0.140000,145614,92962,1.565661 
0.120000,0.140000,147028,93248,1.576489 
0.140000,0.140000,157665,99376,1.585645 
0.160000,0.140000,158716,99591,1.592648 
0.180000,0.140000,161895,100948,1.602580 
0.200000,0.140000,156391,96993,1.611683 
0.220000,0.140000,175835,107946,1.628226 
0.240000,0.140000,171002,104666,1.632656 
0.260000,0.140000,166710,101416,1.643038 
0.280000,0.140000,176686,107081,1.649722 
0.300000,0.140000,185941,111663,1.664581 
0.320000,0.140000,190760,113590,1.679296 
0.340000,0.140000,197879,117562,1.682463 
